wikidata_id,name,zone_type,zone_type_local_name,expected_min,expected_max,is_known_failure,wikidata_ontology
Q142,France,state,région,17,19,,Q36784
Q142,France,state_district,département,99,103,,Q6465
Q142,France,city,commune,34800,36000,,Q484170
Q38,Italie,state,regioni,19,21,yes,Q16110
Q38,Italie,state_district,province,107,113,yes,Q15089
Q38,Italie,city,comuni,7900,8100,,Q747074
Q183,Allemagne,state,länder,15,17,,Q1221156
Q183,Allemagne,city,gemeinde,11100,12300,,Q262166
Q32,Luxembourg,state,(does not exist),0,1,,
Q32,Luxembourg,state_district,canton,11,13,,
Q32,Luxembourg,city,commune,100,104,,
Q31,Belgique,state,région,2,4,yes,Q83057
Q31,Belgique,state_district,province,8,12,yes,Q83116
Q31,Belgique,city,municipality,500,700,yes,Q493522
Q39,Suisse,state,canton,24,28,,Q23058
Q39,Suisse,city,commune,2000,3000,,Q70208
Q45,Portugal,state,district,16,20,yes,Q41806065
Q45,Portugal,state_district,municipality,310,330,yes,Q13217644
Q45,Portugal,city,freguesia,3000,4000,,Q1131296
Q25230,Guernesey,city,parish,8,12,yes,Q3365965
Q29999,Pays-Bas,state,province,10,14,yes,Q134390
Q29999,Pays-Bas,city,municipality,300,500,yes,Q2039348
Q785,Jersey,city,parish,10,14,yes,Q2140214
Q1246,Kosovo,state,rajone,3,8,yes,Q2915243
Q1246,Kosovo,city,komuna,25,36,yes,Q2989682
Q9676,île de Man,state,sheading,5,7,,Q12883402
Q20,Norvège,state,fylke,17,21,,Q192299
Q29,Espagne,state,comunidad autónoma,15,20,,
Q29,Espagne,state_district,provincia,40,60,yes,
Q29,Espagne,city,municipio,8000,9000,,
Q148,République populaire de Chine,state,province,25,40,yes,Q1615742
Q117,Ghana,state,subdivision,8,12,yes,Q3390476
Q117,Ghana,state_district,district,190,230,yes,Q545769
Q40362,République sahraouie,state,,1,4242,yes,
Q79,Égypte,state,,20,30,yes,
Q114,Kenya,state,,1,4242,yes,
Q115,Éthiopie,state,,1,4242,yes,
Q258,Afrique du Sud,state,,1,4242,yes,
Q262,Algérie,state,,1,4242,yes,
Q657,Tchad,state,,1,4242,yes,
Q912,Mali,state,,1,4242,yes,
Q916,Angola,state,,1,4242,yes,
Q924,Tanzanie,state,,1,4242,yes,
Q929,République centrafricaine,state,,1,4242,yes,
Q945,Togo,state,,1,4242,yes,
Q948,Tunisie,state,,1,4242,yes,
Q953,Zambie,state,,1,4242,yes,
Q954,Zimbabwe,state,,1,4242,yes,
Q958,Soudan du Sud,state,,1,4242,yes,
Q962,Bénin,state,,1,4242,yes,
Q963,Botswana,state,,1,4242,yes,
Q965,Burkina Faso,state,,1,4242,yes,
Q967,Burundi,state,,1,4242,yes,
Q970,Comores,state,,1,4242,yes,
Q971,République du Congo,state,,1,4242,yes,
Q974,République démocratique du Congo,state,,1,4242,yes,
Q977,Djibouti,state,,1,4242,yes,
Q983,Guinée équatoriale,state,,1,4242,yes,
Q986,Érythrée,state,,1,4242,yes,
Q1000,Gabon,state,,1,4242,yes,
Q1005,Gambie,state,,1,4242,yes,
Q1006,Guinée,state,,1,4242,yes,
Q1007,Guinée-Bissau,state,,1,4242,yes,
Q1008,Côte d'Ivoire,state,,1,4242,yes,
Q1009,Cameroun,state,,1,4242,yes,
Q1011,Cap-Vert,state,,1,4242,yes,
Q1013,Lesotho,state,,1,4242,yes,
Q1014,Liberia,state,,1,4242,yes,
Q1016,Libye,state,,1,4242,yes,
Q1019,Madagascar,state,,1,4242,yes,
Q1020,Malawi,state,,1,4242,yes,
Q1025,Mauritanie,state,,1,4242,yes,
Q1027,Maurice,state,,1,4242,yes,
Q1028,Maroc,state,,1,4242,yes,
Q1029,Mozambique,state,,1,4242,yes,
Q1030,Namibie,state,,1,4242,yes,
Q1032,Niger,state,,1,4242,yes,
Q1033,Nigeria,state,,1,4242,yes,
Q1036,Ouganda,state,,1,4242,yes,
Q1037,Rwanda,state,,1,4242,yes,
Q1039,Sao Tomé-et-Principe,state,,1,4242,yes,
Q1041,Sénégal,state,,1,4242,yes,
Q1042,Seychelles,state,,1,4242,yes,
Q1044,Sierra Leone,state,,1,4242,yes,
Q1045,Somalie,state,,1,4242,yes,
Q1049,Soudan,state,,1,4242,yes,
Q1050,Swaziland,state,,1,4242,yes,
Q6250,Sahara occidental,state,,1,4242,yes,
Q754,Trinité-et-Tobago,state,,1,4242,yes,
Q760,Sainte-Lucie,state,,1,4242,yes,
Q763,Saint-Christophe-et-Niévès,state,,1,4242,yes,
Q766,Jamaïque,state,,1,4242,yes,
Q769,Grenade,state,,1,4242,yes,
Q778,Bahamas,state,,1,4242,yes,
